MatchId,Patch,RankFk,GameDuration,TeamID,B1Champ,B2Champ,B3Champ,B4Champ,B5Champ,R1Champ,R2Champ,R3Champ,R4Champ,R5Champ,BlueBaronKills,BlueRiftHeraldKills,BlueDragonKills,BlueTowerKills,BlueKills,RedBaronKills,RedRiftHeraldKills,RedDragonKills,RedTowerKills,RedKills,RedWin,BlueWin
KR_8037480655,16.01,0,1923,210801,420,233,99,145,25,75,91,157,22,267,0,1,2,5,18,2,0,3,10,30,1,0
KR_8037481389,16.01,0,1135,191016,910,64,157,110,526,67,234,84,901,201,0,1,2,11,41,0,0,0,0,15,0,1
KR_8037481759,16.01,0,1742,195421,54,104,777,901,25,43,9,893,15,40,0,0,0,2,10,1,1,3,5,23,1,0
KR_8037484472,16.01,0,1246,192210,84,77,777,15,101,41,62,91,81,25,0,0,0,0,15,0,1,2,4,34,1,0
KR_8037484475,16.01,0,1721,204131,78,233,238,360,89,58,517,86,81,7,1,0,2,6,53,0,0,1,6,27,0,1
KR_8037485637,16.01,0,1550,210703,113,233,69,15,81,799,245,110,145,25,0,1,1,2,22,0,0,3,3,39,1,0
KR_8037485846,16.01,0,1368,208775,39,64,84,81,111,27,104,157,21,32,0,1,2,3,25,0,0,0,5,35,1,0
KR_8037486157,16.01,0,71,199295,875,36,517,236,267,92,59,34,222,111,0,0,0,0,0,0,0,0,0,0,1,0
KR_8037486353,16.01,0,1564,196383,67,876,777,29,16,122,36,14,145,201,1,1,3,10,38,0,0,1,2,18,0,1
KR_8037486741,16.01,0,1455,180455,58,64,238,81,432,799,234,13,22,555,0,1,3,4,27,0,0,0,3,15,0,1
KR_8037486858,16.01,0,1386,183992,85,59,238,145,53,8,64,4,236,201,1,1,2,9,32,0,0,1,2,18,0,1
KR_8037487700,16.01,0,2256,185696,119,56,245,236,555,84,106,157,145,53,2,1,2,8,58,0,0,3,4,38,0,1
KR_8037487889,16.01,0,2026,188087,17,3,69,51,99,799,245,157,110,518,0,0,0,3,31,1,0,3,11,48,1,0
KR_8037488210,16.01,0,1885,191992,13,56,163,236,201,8,32,142,145,111,2,1,4,7,28,0,0,1,4,23,0,1
KR_8037488344,16.01,0,1295,169629,875,904,136,222,201,17,234,13,51,89,0,0,0,0,15,0,1,3,5,29,1,0
KR_8037488351,16.01,0,2367,170084,14,59,777,236,117,122,19,268,895,518,1,0,2,7,31,0,0,3,4,37,0,1
KR_8037489361,16.01,0,2015,184946,75,876,157,81,432,39,126,800,145,53,2,1,2,10,32,0,0,3,5,32,0,1
KR_8037489565,16.01,0,2040,201046,79,5,238,804,800,36,91,103,21,43,0,0,2,5,34,1,1,2,8,47,1,0
KR_8037490870,16.01,0,940,193634,39,238,61,81,43,875,245,517,523,412,0,0,1,0,6,0,0,0,2,21,1,0
KR_8037491706,16.01,0,1645,180742,98,887,90,236,78,24,5,84,804,412,1,1,2,7,31,0,0,2,2,22,0,1
KR_8037492118,16.01,0,1549,181273,54,11,103,523,201,23,876,238,222,111,0,1,0,1,16,1,0,4,10,36,1,0
KR_8037492546,16.01,0,1761,172320,36,59,112,523,53,106,54,84,222,16,1,1,2,10,23,0,0,2,2,21,0,1
KR_8037492598,16.01,0,1935,187763,24,200,84,804,43,86,421,142,523,117,1,1,4,11,27,0,0,0,2,23,0,1
KR_8037493735,16.01,0,1917,170012,54,141,517,21,111,14,92,157,236,22,1,1,3,8,34,0,0,0,4,22,0,1
KR_8037494388,16.01,0,1941,201332,8,35,254,81,412,67,28,20,901,25,0,0,0,3,33,1,1,5,10,55,1,0
KR_8037495929,16.01,0,1901,188514,24,5,61,15,44,86,254,4,804,43,0,1,1,3,26,2,0,4,10,46,1,0
KR_8037495948,16.01,0,1827,194079,157,266,84,145,111,86,245,39,51,432,0,0,0,0,32,0,0,4,11,48,1,0
KR_8037496677,16.01,0,1073,174115,875,106,84,51,902,777,11,238,804,517,0,0,3,3,20,0,0,0,0,5,0,1
KR_8037497507,16.01,0,1793,177055,74,887,777,15,412,799,246,84,202,25,0,0,1,2,11,2,1,3,10,33,1,0
KR_8037498585,16.01,0,1389,189087,897,517,1,804,147,86,245,777,67,117,0,0,0,2,16,1,0,2,3,40,1,0
KR_8037498888,16.01,0,909,202334,266,203,517,222,267,420,64,61,523,117,0,0,2,3,24,0,0,0,0,3,0,1
KR_8037499293,16.01,0,1797,177153,17,131,142,523,201,54,517,4,236,267,1,0,3,10,38,0,0,1,4,27,0,1
KR_8037499367,16.01,0,2357,199294,82,54,157,110,526,41,154,84,29,117,2,0,5,10,37,1,1,0,6,34,0,1
KR_8037499932,16.01,0,1159,208986,164,28,777,145,223,516,121,105,498,111,0,0,1,0,9,0,0,0,5,26,1,0
KR_8037500431,16.01,0,1475,203322,14,126,4,202,25,41,254,163,523,497,0,1,1,1,13,1,0,3,4,30,1,0
KR_8037500628,16.01,0,2259,205436,266,131,238,21,99,84,154,800,202,101,0,0,2,2,39,2,1,4,8,57,1,0
KR_8037500962,16.01,0,1250,174274,24,54,777,110,117,106,517,55,51,53,0,0,0,0,7,0,1,2,4,23,1,0
KR_8037501383,16.01,0,1141,178732,154,64,84,51,888,777,56,90,222,111,0,0,2,3,25,0,0,0,1,9,0,1
KR_8037502069,16.01,0,2063,180921,82,126,39,222,63,79,54,875,15,78,1,0,1,6,33,1,1,4,9,50,1,0
KR_8037502415,16.01,0,2254,171376,86,154,517,51,412,84,11,136,67,117,0,1,4,11,44,2,0,1,3,39,0,1
KR_8037502695,16.01,0,2079,171981,86,234,103,15,35,24,126,112,202,201,1,1,1,6,21,1,0,4,9,33,1,0
KR_8037502941,16.01,0,937,185772,86,126,800,222,117,875,30,101,22,53,0,0,0,0,6,0,1,2,2,18,1,0
KR_8037503167,16.01,0,1109,202511,39,245,157,18,53,36,64,101,901,888,0,1,2,5,27,0,0,0,0,6,0,1
KR_8037503383,16.01,0,1957,186279,887,427,3,67,89,27,950,55,145,111,1,0,2,4,36,0,0,3,5,32,0,1
KR_8037503574,16.01,0,1980,171903,24,54,90,51,147,79,245,238,81,37,0,1,0,6,25,1,0,4,8,40,1,0
KR_8037503675,16.01,0,1197,193768,122,904,8,523,518,114,254,246,804,57,0,1,1,2,12,0,0,1,2,27,1,0
KR_8037503862,16.01,0,2556,190092,897,20,711,145,497,41,35,45,804,117,1,1,3,5,39,2,0,3,10,40,1,0
KR_8037504125,16.01,0,2136,199088,68,120,901,22,350,266,238,84,119,800,1,0,1,11,55,1,1,2,8,51,0,1
KR_8037504140,16.01,0,2187,211876,5,64,134,901,555,799,517,91,498,89,0,0,2,3,35,3,1,2,12,58,1,0
KR_8037504850,16.01,0,1713,191015,777,9,112,15,80,35,5,233,145,53,0,1,3,6,29,0,0,0,3,27,1,0
KR_8037504896,16.01,0,2024,177559,122,200,91,236,201,24,121,86,523,43,0,1,1,3,26,2,0,3,11,27,1,0
KR_8037505275,16.01,0,1536,175316,67,20,90,222,50,126,19,84,29,111,1,1,2,10,34,0,0,0,2,28,0,1
KR_8037506291,16.01,0,1056,180530,799,254,90,202,99,106,64,134,18,350,0,0,0,2,12,0,0,2,3,25,1,0
KR_8037506378,16.01,0,913,166831,164,238,875,145,111,17,64,777,81,555,0,0,1,2,18,0,0,0,0,6,0,1
KR_8037509490,16.01,0,1399,192134,799,245,5,145,25,39,54,777,51,99,0,0,1,4,26,0,0,2,6,22,0,1
KR_8037510711,16.01,0,2453,184461,58,54,154,523,555,887,131,157,81,412,1,1,2,6,36,2,0,4,10,37,1,0
KR_8037511192,16.01,0,2135,186183,24,131,517,145,526,83,60,777,81,35,1,1,2,5,39,1,0,3,10,45,1,0
KR_8037512153,16.01,0,1919,189223,904,245,54,202,412,27,154,91,51,902,0,1,2,5,28,1,0,1,11,26,1,0
KR_8037513141,16.01,0,915,173204,17,876,134,202,53,266,20,84,157,201,0,0,0,0,14,0,0,1,3,25,1,0
KR_8037513226,16.01,0,1720,170185,39,517,103,150,33,58,54,13,804,555,0,1,2,10,34,0,0,2,1,32,0,1
KR_8037513437,16.01,0,1874,206966,82,876,61,236,201,777,126,112,15,99,0,1,1,4,25,1,0,3,5,27,1,0
KR_8037513586,16.01,0,1170,192047,48,33,84,22,117,799,54,91,145,800,0,0,0,0,7,0,1,2,3,25,1,0
KR_8037514301,16.01,0,1097,201992,78,517,84,523,53,154,113,157,145,89,0,1,0,1,14,0,0,2,3,26,1,0
KR_8037515140,16.01,0,1200,174832,68,245,246,804,53,84,5,103,222,50,0,1,3,3,23,0,0,0,1,8,0,1
KR_8037515147,16.01,0,2105,172304,34,5,45,221,79,85,126,893,804,89,1,0,4,9,53,0,1,0,5,41,0,1
KR_8037515565,16.01,0,2508,212647,80,517,13,236,897,106,234,112,145,412,2,0,1,6,32,1,1,4,10,43,1,0
KR_8037516041,16.01,0,1670,207925,58,131,246,804,53,24,245,3,901,201,0,0,1,3,20,1,1,3,8,30,1,0
KR_8037516624,16.01,0,1903,190167,39,234,950,221,17,54,245,777,222,201,0,0,1,4,15,1,1,4,10,31,1,0
KR_8037516763,16.01,0,1911,192209,68,19,7,236,350,897,233,84,145,412,1,0,1,4,18,1,1,3,11,36,1,0
KR_8037517348,16.01,0,1344,201609,875,35,517,145,111,200,19,136,895,412,0,0,0,2,25,0,1,3,5,36,1,0
KR_8037518017,16.01,0,2255,212112,875,203,4,202,235,777,104,711,15,147,1,1,5,9,46,1,0,1,2,25,0,1
KR_8037518370,16.01,0,1700,183536,36,11,245,523,50,13,64,4,145,201,0,0,2,10,36,1,1,1,4,28,0,1
KR_8037518980,16.01,0,1984,193633,41,5,517,804,201,8,64,13,81,127,1,0,2,8,39,1,1,3,6,38,0,1
KR_8037519239,16.01,0,1935,204026,777,91,103,804,412,897,141,55,145,518,1,0,4,9,46,0,1,0,3,27,0,1
KR_8037519543,16.01,0,1810,203416,799,887,157,51,518,233,91,777,18,3,0,1,4,7,49,0,0,0,3,45,0,1
KR_8037519757,16.01,0,1514,168006,85,254,4,222,412,84,54,711,81,518,0,0,0,1,18,1,1,3,8,41,1,0
KR_8037520865,16.01,0,2013,210537,266,126,84,119,27,17,5,13,222,412,0,0,2,3,30,2,1,2,11,32,1,0
KR_8037521511,16.01,0,1089,189543,6,421,950,145,25,24,120,517,22,412,0,1,0,2,16,0,0,2,2,23,1,0
KR_8037521872,16.01,0,1511,202685,98,238,800,145,201,82,19,80,236,50,1,0,1,4,26,0,1,2,3,15,0,1
KR_8037521933,16.01,0,2047,191773,126,141,3,22,12,92,9,517,236,201,0,0,2,8,33,2,1,3,8,32,1,0
KR_8037523069,16.01,0,1075,179373,106,254,131,202,53,39,29,3,51,89,0,1,2,3,20,0,0,0,2,16,0,1
KR_8037523475,16.01,0,1742,207577,75,14,99,145,60,54,64,45,81,37,0,0,0,3,23,1,0,3,11,37,1,0
KR_8037523660,16.01,0,1049,189847,8,59,4,523,53,777,113,7,21,50,0,1,2,2,23,0,0,0,0,10,0,1
KR_8037524128,16.01,0,1784,170309,19,54,3,236,43,36,11,84,202,555,0,1,2,4,29,1,0,2,11,41,1,0
KR_8037525227,16.01,0,1646,203342,39,33,238,222,526,516,104,103,51,147,1,1,4,10,46,0,0,0,2,19,0,1
KR_8037525339,16.01,0,1393,169587,17,64,13,29,147,58,266,39,221,350,0,0,2,1,22,1,1,2,6,39,1,0
KR_8037526223,16.01,0,1117,173242,516,126,131,223,235,110,234,238,222,497,0,1,1,3,28,0,0,1,1,19,0,1
KR_8037526997,16.01,0,2075,181272,10,54,950,145,32,68,24,517,81,75,0,1,2,3,27,2,0,2,9,42,1,0
KR_8037527186,16.01,0,1870,201261,85,517,55,901,89,266,131,875,157,54,0,1,0,1,26,1,0,4,11,34,1,0
KR_8037527892,16.01,0,2277,193521,516,245,45,51,800,122,11,112,236,111,2,0,2,10,49,1,1,4,11,49,0,1
KR_8037528510,16.01,0,2222,169678,266,126,800,81,254,777,876,131,15,161,1,1,4,9,59,1,0,2,9,48,1,0
KR_8037529329,16.01,0,1785,203517,25,19,39,115,89,14,233,90,15,350,0,0,1,1,31,1,1,3,10,46,1,0
KR_8037529606,16.01,0,1488,207046,266,17,84,81,526,950,254,34,22,147,0,1,2,7,44,0,0,0,1,29,0,1
KR_8037529668,16.01,0,1684,174114,875,104,115,67,161,110,62,240,22,201,1,1,3,9,37,0,0,1,3,19,0,1
KR_8037530081,16.01,0,1379,170929,777,121,3,804,25,133,245,157,22,412,1,1,3,5,38,0,0,0,1,21,0,1
KR_8037530477,16.01,0,1406,194359,68,234,777,523,111,23,64,84,236,80,0,0,0,0,19,0,1,3,7,40,1,0
KR_8037531062,16.01,0,1943,205303,106,141,103,110,235,67,245,14,157,518,1,0,3,9,43,0,1,0,3,25,0,1
KR_8037531414,16.01,0,1710,193298,904,234,30,498,50,777,120,245,145,201,0,0,0,3,22,1,1,3,9,38,1,0
KR_8037531665,16.01,0,937,167044,83,234,13,804,86,2,106,4,523,89,0,0,0,1,8,0,0,2,2,18,1,0
KR_8037532266,16.01,0,417,175109,150,200,136,35,56,887,131,84,523,412,0,0,0,0,0,0,0,0,0,4,1,0
KR_8037532517,16.01,0,534,204130,58,104,84,22,78,516,126,3,523,117,0,0,1,0,3,0,0,0,0,10,1,0
KR_8037532529,16.01,0,2323,168392,897,234,142,222,19,157,11,80,901,555,1,0,2,9,46,0,1,3,7,41,0,1
KR_8037532900,16.01,0,1737,191991,67,887,517,15,412,6,54,163,222,43,0,1,2,4,23,1,0,2,6,28,1,0
KR_8037533392,16.01,0,915,202333,114,27,136,901,800,516,36,157,145,89,0,0,1,3,18,0,0,1,0,6,0,1
KR_8037534390,16.01,0,1685,210800,904,245,7,145,201,122,131,90,236,267,0,0,1,4,24,1,1,3,9,42,1,0
KR_8037534810,16.01,0,2360,203016,68,126,711,81,235,875,17,517,21,111,0,1,3,6,40,1,0,3,10,49,1,0
KR_8037534824,16.01,0,2020,190680,904,238,99,51,25,74,157,777,29,800,2,1,2,11,63,0,0,2,5,33,0,1
KR_8037534830,16.01,0,1703,174371,19,950,3,202,111,875,126,517,81,50,0,0,0,3,23,1,0,2,8,37,1,0
KR_8037535359,16.01,0,1613,207145,39,517,777,498,111,799,35,238,360,526,0,0,0,4,15,1,1,3,7,46,1,0
KR_8037535402,16.01,0,625,200090,110,106,8,523,412,904,233,799,804,43,0,0,0,1,13,0,0,0,0,5,0,1
KR_8037536298,16.01,0,1641,192232,106,76,157,81,800,266,64,7,22,53,1,1,2,10,29,0,0,0,0,24,0,1
KR_8037536571,16.01,0,1753,166868,904,876,84,22,117,122,517,55,236,412,0,0,3,5,11,1,1,1,3,11,0,1
KR_8037536793,16.01,0,2110,211071,58,799,13,360,53,39,887,157,145,518,1,1,3,5,46,1,0,2,8,37,1,0
KR_8037537025,16.01,0,1944,209828,82,54,4,523,111,133,48,50,51,117,0,0,2,2,17,1,1,3,10,27,1,0
KR_8037537126,16.01,0,1909,189186,79,54,157,15,53,122,56,517,110,12,1,0,3,11,36,0,1,1,3,26,0,1
KR_8037537136,16.01,0,1012,212848,17,54,84,81,201,106,887,90,145,79,0,0,1,2,22,0,0,0,1,7,0,1
KR_8037537297,16.01,0,1232,179827,36,234,82,236,50,875,33,517,51,134,0,0,2,6,29,0,0,1,1,13,0,1
KR_8037537440,16.01,0,1650,180454,75,20,84,51,526,13,517,777,145,53,1,1,2,4,29,0,0,2,4,26,0,1
KR_8037537996,16.01,0,1871,186023,24,517,61,81,16,74,64,13,21,412,0,0,1,3,30,1,1,4,9,41,1,0
KR_8037538064,16.01,0,2314,191953,107,126,20,222,53,80,11,157,202,50,2,1,3,11,57,1,0,3,8,51,0,1
KR_8037538285,16.01,0,2325,172243,8,35,103,804,201,904,62,157,236,555,0,0,4,9,56,1,1,2,5,42,0,1
KR_8037538799,16.01,0,1518,180741,24,517,238,21,526,68,245,157,523,902,0,0,0,2,18,1,1,3,9,29,1,0
KR_8037539936,16.01,0,2630,196159,17,950,103,236,223,74,19,800,42,22,0,1,0,5,57,2,0,5,10,53,1,0
KR_8037540346,16.01,0,1124,203130,14,121,5,15,555,38,517,268,145,800,0,0,0,1,9,0,0,1,3,26,1,0
KR_8037541124,16.01,0,1870,208774,23,54,34,110,201,122,104,99,236,43,1,1,1,11,36,0,0,2,2,29,0,1
KR_8037541848,16.01,0,2051,175315,54,9,67,222,12,74,11,777,51,34,1,1,4,10,61,1,0,1,3,34,0,1
KR_8037542760,16.01,0,937,187483,24,54,777,360,111,85,126,3,236,89,0,0,1,0,6,0,0,1,2,24,1,0
KR_8037542926,16.01,0,1486,185771,122,20,157,22,37,777,59,711,18,223,1,0,4,8,37,0,0,0,3,23,0,1
KR_8037543645,16.01,0,1713,203321,83,126,517,222,117,85,64,910,15,412,1,1,0,8,22,0,0,4,4,30,0,1
KR_8037543963,16.01,0,1676,183117,266,91,84,51,53,904,54,61,22,201,1,0,1,4,16,0,1,2,8,31,1,0
KR_8037544151,16.01,0,2290,189086,86,28,84,110,99,897,19,3,804,25,0,0,0,5,39,1,0,4,10,45,1,0
